hashcode	string
---------------------------------------------------------------------------------------
0x00000061	A
0x00000063	C
0x00000064	D
0x00000068	H
0x00000069	I
0x0000006d	M
0x00000070	P
0x00000074	T
0x000005fe	-1
0x00000ce4	AC
0x00000ce6	AE
0x00000ce7	AF
0x00000ce8	AG
0x00000ce9	AH
0x00000d05	BC
0x00000d06	BD
0x00000d07	BE
0x00000d08	BF
0x00000d09	BG
0x00000d0a	BH
0x00000d26	CC
0x00000d27	CD
0x00000d28	CE
0x00000d29	CF
0x00000d2a	CG
0x00000d2b	CH
0x00000d2c	CI
0x00000d30	CM
0x00000d47	DC
0x00000d48	DD
0x00000d49	DE
0x00000d4a	DF
0x00000d4b	DG
0x00000d4c	DH
0x00000d4d	DI
0x00000d4e	DJ
0x00000d4f	DK
0x00000d50	DL
0x00000d51	DM
0x00000d52	DN
0x00000d56	DR
0x00000d68	EC
0x00000d69	ED
0x00000d6a	EE
0x00000d6b	EF
0x00000d6c	EG
0x00000d6d	EH
0x00000d6e	EI
0x00000d6f	EJ
0x00000d70	EK
0x00000d71	EL
0x00000d72	EM
0x00000d73	EN
0x00000d74	EO
0x00000d75	EP
0x00000d89	FC
0x00000d8a	FD
0x00000d8b	FE
0x00000d8c	FF
0x00000d8d	FG
0x00000d8e	FH
0x00000d8f	FI
0x00000d90	FJ
0x00000d91	FK
0x00000d92	FL
0x00000d93	FM
0x00000d94	FN
0x00000d95	FO
0x00000d96	FP
0x00000daa	GC
0x00000dab	GD
0x00000dac	GE
0x00000dad	GF
0x00000dae	gg
0x00000daf	GH
0x00000db0	GI
0x00000db1	GJ
0x00000db2	GK
0x00000db3	GL
0x00000db4	GM
0x00000db5	GN
0x00000db6	GO
0x00000db7	GP
0x00000dcb	HC
0x00000dcc	HD
0x00000dcd	HE
0x00000dce	HF
0x00000dcf	HG
0x00000dd0	HH
0x00000dd1	HI
0x00000dd2	HJ
0x00000dd3	HK
0x00000dd4	HL
0x00000dd5	HM
0x00000dd6	HN
0x00000dd7	HO
0x00000dd8	HP
0x00000dec	IC
0x00000ded	ID
0x00000dee	IE
0x00000def	IF
0x00000df0	IG
0x00000df1	IH
0x00000df2	II
0x00000df3	IJ
0x00000df4	IK
0x00000df5	IL
0x00000df6	IM
0x00000df7	IN
0x00000df8	IO
0x00000df9	IP
0x00000e0c	JB
0x00000e0d	JC
0x00000e0e	JD
0x00000e0f	JE
0x00000e10	JF
0x00000e11	JG
0x00000e12	JH
0x00000e13	JI
0x00000e14	JJ
0x00000e15	JK
0x00000e16	JL
0x00000e17	JM
0x00000e18	JN
0x00000e2e	KC
0x00000e2f	KD
0x00000e30	KE
0x00000e31	KF
0x00000e32	KG
0x00000e33	KH
0x00000e34	KI
0x00000e35	KJ
0x00000e36	KK
0x00000e37	KL
0x00000e38	KM
0x00000e39	KN
0x00000e3a	ko
0x00000e4f	LC
0x00000e50	LD
0x00000e51	LE
0x00000e52	LF
0x00000e53	LG
0x00000e54	LH
0x00000e55	LI
0x00000e56	LJ
0x00000e57	LK
0x00000e5f	N1
0x00000e60	N2
0x00000e61	N3
0x00000e62	N4
0x00000e63	N5
0x00000e70	MC
0x00000e71	MD
0x00000e72	ME
0x00000e73	MF
0x00000e74	MG
0x00000e75	MH
0x00000e76	MI
0x00000e77	MJ
0x00000e78	MK
0x00000e79	ML
0x00000e8f	NA
0x00000e91	NC
0x00000e92	ND
0x00000e93	NE
0x00000e94	NF
0x00000e95	NG
0x00000e96	NH
0x00000e97	NI
0x00000e98	NJ
0x00000e99	NK
0x00000e9a	NL
0x00000eb3	OD
0x00000eb4	OE
0x00000eb5	OF
0x00000eb6	OG
0x00000eb7	OH
0x00000eb8	OI
0x00000eb9	OJ
0x00000eba	OK
0x00000ebb	OL
0x00000ebc	OM
0x00000ed3	PC
0x00000ed4	PD
0x00000ed5	PE
0x00000ed6	PF
0x00000ed7	PG
0x00000ed8	PH
0x00000ed9	PI
0x00000eda	PJ
0x00000edb	PK
0x00000edc	PL
0x00000ee2	PR
0x00000ef6	QE
0x00000ef7	QF
0x00000ef8	QG
0x00000ef9	QH
0x00000efa	QI
0x00000efb	QJ
0x00000efc	QK
0x00000f16	RD
0x00000f17	RE
0x00000f18	RF
0x00000f19	RG
0x00000f1a	RH
0x00000f1b	RI
0x00000f1c	RJ
0x00000f25	T1
0x00000f26	T2
0x00000f27	T3
0x00000f28	T4
0x00000f29	T5
0x00000f39	SF
0x00000f3a	SG
0x00000f3b	SH
0x00000f3c	SI
0x00000f5b	TG
0x00000f7b	UF
0x00000f83	UN
0x00003b93	BG_RFACCESSA
0x00003b94	BG_RFACCESSB
0x000055af	show_pickup_hint()
0x0000c4d2	CIT_RCJS18_JOH_NotABigFan
0x000113fa	V02_01CN03_WOL_YaDontSay02
0x0001a125	_bd
0x0001a126	_be
0x0001a127	_bf
0x0001a128	_bg
0x0001a147	_ce
0x0001a14a	_ch
0x0001a167	_dd
0x0001a16b	_dh
0x0001a16c	_di
0x0001a189	_ee
0x0001a18d	_ei
0x0001a18f	_ek
0x0001a190	_el
0x0001a191	_em
0x0001a192	_en
0x0001a1a9	_fd
0x0001a1ae	_fi
0x0001a1af	_fj
0x0001a1b3	_fn
0x0001a1cb	_ge
0x0001a1cf	_gi
0x0001a1d0	_gj
0x0001a1eb	_hd
0x0001a1f0	_hi
0x0001a1f1	_hj
0x0001a20c	_id
0x0001a20d	_ie
0x0001a211	_ii
0x0001a212	_ij
0x0001a22c	_jc
0x0001a22d	_jd
0x0001a232	_ji
0x0001a24e	_kd
0x0001a253	_ki
0x0001a26f	_ld
0x0001a270	_le
0x0001a274	_li
0x0001a291	_me
0x0001a296	_mj
0x0001a2b2	_ne
0x0001a2b7	_nj
0x0001a2d4	_of
0x0001a2d9	_ok
0x0001a2f5	_pf
0x0001a2f8	_pi
0x0001a2f9	_pj
0x0001a317	_qg
0x0001a338	_rg
0x0001a339	_rh
0x0001a9b6	abs
0x0001aa18	AER
0x0001aa39	AFR
0x0001aa5a	AGR
0x0001aa7b	AHR
0x0001ab00	als
0x0001abc0	ARM
0x0001ae17	BCR
0x0001ae29	BDC
0x0001ae38	BDR
0x0001ae4a	BEC
0x0001ae6b	BFC
0x0001ae8c	BGC
0x0001aead	BHC
0x0001af93	bob
0x0001b06a	BUS
0x0001b216	CAR
0x0001b249	CCC
0x0001b26a	CDC
0x0001b28b	CEC
0x0001b2ac	CFC
0x0001b2cd	CGC
0x0001b2ee	CHC
0x0001b30f	CIC
0x0001b393	CMC
0x0001b4c6	CVM
0x0001b699	DCR
0x0001b6ab	DDC
0x0001b6cc	DEC
0x0001b6ed	DFC
0x0001b70e	DGC
0x0001b72f	DHC
0x0001b750	DIC
0x0001b771	DJC
0x0001b792	DKC
0x0001b7b3	DLC
0x0001b7d4	DMC
0x0001b7f5	DNC
0x0001b827	DOT
0x0001bada	ECR
0x0001baec	EDC
